name,cls,n,flag,cat,ean,jan,isbn,pref
東宝,B_和名(法人格なし),3,中小候補,DVD,2,True,False,498
Disney(ディズニー),B_和名(法人格なし),3,中小候補,DVD,3,False,False,401
Leacco,C_英数字のみ,2,中小候補,家電＆カメラ,2,False,False,076
Zeniss,C_英数字のみ,2,中小候補,家電＆カメラ,1,False,False,072
Ailewu,C_英数字のみ,2,中小候補,家電＆カメラ,2,False,False,077
TXWDFHL,C_英数字のみ,2,中小候補,ホーム＆キッチン,2,False,False,076
Negolas,C_英数字のみ,2,中小候補,家電＆カメラ,2,False,False,079
Tuwejia,C_英数字のみ,2,中小候補,家電＆カメラ,0,False,False,
basemax,C_英数字のみ,2,中小候補,車＆バイク,0,False,False,
CITIZEN,C_英数字のみ,2,中小候補,スポーツ＆アウトドア,2,True,False,456
Ralkepy,C_英数字のみ,2,中小候補,家電＆カメラ,0,False,False,
YOCOEI,C_英数字のみ,2,中小候補,家電＆カメラ,2,False,False,076
Hanmir,C_英数字のみ,2,中小候補,車＆バイク,2,False,False,695
GLAMERGY,C_英数字のみ,2,中小候補,パソコン・周辺機器,0,False,False,
Tufuha,C_英数字のみ,2,大手/海外疑い,パソコン・周辺機器,0,False,False,
KEEZING,C_英数字のみ,2,中小候補,ホーム＆キッチン,2,False,False,073
Hobbywing,C_英数字のみ,2,中小候補,おもちゃ,2,True,False,457
Keypal,C_英数字のみ,2,中小候補,家電＆カメラ,2,False,False,073
Sanlao,C_英数字のみ,2,中小候補,家電＆カメラ,0,False,False,
Boleve,C_英数字のみ,2,中小候補,家電＆カメラ,0,False,False,
Toyomii,C_英数字のみ,2,中小候補,家電＆カメラ,0,False,False,
INTEX,C_英数字のみ,2,中小候補,DIY・工具・ガーデン,7,False,False,694
タカギ(Takagi),B_和名(法人格なし),2,中小候補,ホーム＆キッチン,2,True,False,000
NEW ERA(ニューエラ),B_和名(法人格なし),2,中小候補,ファッション,0,False,False,
KEEPRO,C_英数字のみ,2,大手/海外疑い,家電＆カメラ,0,False,False,
DUNLOP,C_英数字のみ,2,中小候補,スポーツ＆アウトドア,2,True,False,490
SKYBASIC,C_英数字のみ,2,中小候補,家電＆カメラ,0,False,False,
SPAHER,C_英数字のみ,2,中小候補,ファッション,0,False,False,
ファイナル(final),B_和名(法人格なし),2,中小候補,家電＆カメラ,4,True,False,457
Augnner,C_英数字のみ,2,大手/海外疑い,家電＆カメラ,0,False,False,
NIKE(ナイキ),B_和名(法人格なし),2,大手/海外疑い,ファッション,5,True,False,019
Kemeskin,C_英数字のみ,2,中小候補,家電＆カメラ,2,False,False,061
Iosare,C_英数字のみ,2,中小候補,ホーム＆キッチン,2,False,False,078
BOS,C_英数字のみ,2,中小候補,DIY・工具・ガーデン,2,True,False,456
Listening Library,C_英数字のみ,2,中小候補,洋書,4,False,True,978
Yaotin,C_英数字のみ,2,中小候補,ホーム＆キッチン,2,False,False,067
Pursay,C_英数字のみ,2,中小候補,ホーム＆キッチン,0,False,False,
YINCODI,C_英数字のみ,2,中小候補,家電＆カメラ,0,False,False,
WISHOLY,C_英数字のみ,2,中小候補,家電＆カメラ,0,False,False,
CREATIVE,C_英数字のみ,2,中小候補,パソコン・周辺機器,6,True,False,458
キヤノン,B_和名(法人格なし),2,大手/海外疑い,パソコン・周辺機器,2,True,False,458
Boweer,C_英数字のみ,2,中小候補,ホーム＆キッチン,2,False,False,076
ハイポネックス,B_和名(法人格なし),2,中小候補,DIY・工具・ガーデン,2,True,False,497
